InstitutionType,InstructorID_Pre,InstructorID_Post,StudentID,Q1FUS,Q2FUS,Q3FUS_Yes,Q3FUS_No,Q4FUS_A,Q4FUS_B,Q4FUS_C,Q4FUS_D,Q4FUS_F,Q5FUS_NeverIntended,Q5FUS_Time,Q5FUS_Grade,Q5FUS_Understand,Q5FUS_Major,Q5FUS_Experience,Q5FUS_OtherCourses,Q6FUS_1,Q6FUS_2,Q6FUS_3,Q6FUS_4,Q7FUS
2,21, ,20383, , , , , , , , , , , , , , , , , , , , , 
2,33, ,15637, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10853, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10854,3,A, ,No, , , , , ,I never intended to take Calculus II., , , , ,My experience in Calculus I made me decide not to take calculus II.,I have too many other courses I need to complete., , , , ,"Briefly, the course was not focused enough on math, but instead focused too much on applications. Also, the teacher was terrible, with tests that were easy and lectures that were both dull and unnecessary."
2,34,34,10856, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10857, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10859, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10860,1,B, ,No, , , , , ,I never intended to take Calculus II.,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , , , ,I have too many other courses I need to complete., , , , ,"I am not passionate about calculus. I have to put a lot of time in to understanding and applying the concepts. Overall mathematics is not my favorite subject, but I have had great teachers over the years."
2,34,34,10861,11,A, ,No, , , , , , ,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , ,I changed my major and now do not need to take Calculus II., ,I have too many other courses I need to complete., ,Disagree, , ,"Although the in-class teaching was not very helpful, I learned a lot from the student tutor. I don't really like math, so I wasn't really planning on taking Calc II, but I also changed my major and didn't need to take it anyways. There are a lot of classes here that I would like to take, so I don't really have room for math classes."
2,34,34,10864,12,A, ,No, , , , , ,I never intended to take Calculus II.,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , , , , , , , , , 
2,34,34,10865, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10866, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10867, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10868, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10871, , , , , , , , , , , , , , , , , , , , , 
