"Q26","Q5Post","Student_ID","Q3Post","Q48","Intstr_Gender","Institution_ID","Calc_Grade","Instr_Age","Instr_Prep_Calc","Stud_Work","Stud_Extra","Instr_Withdraw","Instr_Fail","Instr_Pass","Q18Post_AskedQs","Q18Post_Listened","Q18Post_Applications","Q18Post_Time","Q18Post_ProblemSolver","Q18Post_Explanations","Q18Post_Appointments","Q18Post_Discouraged"
1,4,21211,4,1,1,20,4,42,3,8,8,0,10,90,2,2,2,4,2,2,2,7
1,4,21212,4,1,1,20,NA,42,3,8,13,0,10,90,2,6,4,4,2,6,6,7
1,2,21213,2,1,1,20,NA,42,3,0,18,0,10,90,6,6,6,6,6,6,6,7
1,4,21214,3,1,1,20,NA,42,0,3,0,0,10,90,4,6,6,4,5,4,6,3
1,3,21215,3,1,1,20,NA,42,8,0,3,0,10,90,2,2,2,2,4,2,6,7
1,1,24372,3,1,1,20,NA,42,NA,NA,NA,0,10,90,1,1,1,1,1,1,1,1
4,1,19999,1,3,1,15,NA,51,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,1,19998,1,2,1,15,NA,51,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
1,1,24110,1,1,1,15,NA,51,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,4,13601,4,2,1,40,NA,61,3,13,3,4,8,88,2,2,2,2,2,2,2,5
4,1,20848,1,3,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
4,4,13602,4,3,1,40,NA,61,3,13,0,4,8,88,4,2,4,2,5,4,2,3
4,4,13603,4,3,1,40,4,61,3,8,18,4,8,88,2,2,6,4,6,6,6,7
4,4,13604,4,2,1,40,1,61,18,0,13,4,8,88,2,6,2,4,4,2,6,3
4,1,20849,1,3,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
2,4,13605,4,2,1,40,NA,61,3,3,8,4,8,88,3,3,3,3,3,3,3,3
2,1,20850,1,3,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
3,3,13606,2,2,1,40,NA,61,8,0,3,4,8,88,4,6,6,2,4,4,6,7
3,3,13607,3,2,1,40,NA,61,3,0,0,4,8,88,5,2,4,4,4,7,2,2
2,1,13608,3,2,1,40,2.5,61,3,35,13,4,8,88,3,2,5,7,7,4,2,3
4,1,20851,1,3,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
3,3,13609,4,2,1,40,3,61,3,8,3,4,8,88,4,6,2,2,4,6,6,3
4,1,20852,1,2,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
2,1,20853,1,3,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
2,2,13610,4,2,1,40,3.5,61,3,8,3,4,8,88,5,4,2,2,2,4,6,7
4,2,13611,4,2,1,40,NA,61,3,13,3,4,8,88,4,4,2,2,2,6,4,3
4,4,13612,4,2,1,40,NA,61,8,8,3,4,8,88,5,4,3,3,4,4,4,3
2,4,13613,4,2,1,40,4,61,8,3,13,4,8,88,2,4,4,2,5,5,5,5
1,3,23059,3,1,1,40,1.5,61,3,0,18,4,8,88,3,5,2,5,5,5,6,4
1,1,25139,4,1,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
1,1,25140,4,1,1,40,NA,61,NA,NA,NA,4,8,88,1,1,1,1,1,1,1,1
4,1,14639,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,14631,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,14633,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,14638,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,14637,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,14634,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,14640,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,14636,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,14632,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,14635,1,2,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
1,1,23234,1,1,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,23235,1,1,1,32,NA,33,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,15358,1,3,0,29,NA,35,NA,NA,NA,0,5,95,1,1,1,1,1,1,1,1
2,1,15364,1,2,0,29,NA,35,NA,NA,NA,0,5,95,1,1,1,1,1,1,1,1
2,1,15362,1,2,0,29,NA,35,NA,NA,NA,0,5,95,1,1,1,1,1,1,1,1
4,1,15360,1,2,0,29,NA,35,NA,NA,NA,0,5,95,1,1,1,1,1,1,1,1
2,1,15363,1,2,0,29,NA,35,NA,NA,NA,0,5,95,1,1,1,1,1,1,1,1
3,1,15359,1,2,0,29,NA,35,NA,NA,NA,0,5,95,1,1,1,1,1,1,1,1
2,1,15361,1,3,0,29,NA,35,NA,NA,NA,0,5,95,1,1,1,1,1,1,1,1
2,1,13867,1,3,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
4,1,13864,1,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
4,1,13865,1,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
4,2,10073,3,3,NA,15,NA,NA,8,0,18,NA,NA,NA,4,6,6,4,2,2,2,3
2,1,13866,1,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
4,1,13863,1,3,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
4,4,10074,4,2,NA,15,4,NA,8,0,3,NA,NA,NA,2,2,2,2,2,2,2,3
2,2,10075,3,2,NA,15,NA,NA,3,3,3,NA,NA,NA,2,2,2,5,4,2,6,3
4,1,15144,1,3,0,19,NA,32,NA,NA,NA,15,20,65,1,1,1,1,1,1,1,1
4,1,15164,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,15143,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,15162,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,15154,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
